DAY,AVERAGE of ARRIVAL_DELAY,AVERAGE of DEPARTURE_DELAY,,AIRLINE,COUNTA of FLIGHT_NUMBER,COUNTA of FLIGHT_NUMBER,AVERAGE of DEPARTURE_DELAY,AVERAGE of ARRIVAL_DELAY,,,
LIH,16,3.142857143,,,,,,,,,
LIT,7.333333333,7.777777778,,,,,,,,,
LNK,-2,5,,,,,,,,,
LRD,-10,-7,,,,,,,,,
LSE,137.5,130,,,,,,,,,
MAF,2,2.25,,,,,,,,,
MBS,-20,-11,,,,,,,,,
MCI,-4.114285714,-0.1142857143,,,,,,,,,
MCO,4.277777778,9.194444444,,,,,,,,,
MDT,-15,-4,,,,,,,,,
MDW,-2.866666667,4.983333333,,,,,,,,,
MEM,17.875,19.875,,,,,,,,,
MFE,-10.25,-8.25,,,,,,,,,
MFR,-7.333333333,0,,,,,,,,,
MGM,98,99,,,,,,,,,
MIA,6.671232877,11.02739726,,,,,,,,,
MKE,-7.653846154,6.461538462,,,,,,,,,
MKG,-6,-11,,,,,,,,,
MLB,-20,-3,,,,,,,,,
MLI,-9.333333333,-5,,,,,,,,,
MLU,49,46.5,,,,,,,,,
MOB,27.75,2.5,,,,,,,,,
MOT,24,41,,,,,,,,,
MRY,-13.5,-4.5,,,,,,,,,
MSN,5.25,4.25,,,,,,,,,
MSP,-3.428571429,4.091836735,,,,,,,,,
MSY,1.647058824,6.882352941,,,,,,,,,
MTJ,-1.666666667,0,,,,,,,,,
MYR,12,2,,,,,,,,,
OAK,4.708333333,3.916666667,,,,,,,,,
OGG,3.470588235,9.411764706,,,,,,,,,
OKC,16.92307692,17.38461538,,,,,,,,,
OMA,17.58823529,19.76470588,,,,,,,,,
ONT,1.235294118,4.941176471,,,,,,,,,
ORD,13.46724891,16.91266376,,,,,,,,,
ORF,42.25,46.33333333,,,,,,,,,
ORH,15,27,,,,,,,,,
OTZ,12,2,,,,,,,,,
PBI,13.17857143,18.67857143,,,,,,,,,
PDX,-0.4347826087,3.326086957,,,,,,,,,
PHL,10.56140351,14.92982456,,,,,,,,,
PHX,6.80952381,9.102040816,,,,,,,,,
PIA,-0.75,2.25,,,,,,,,,
PIH,-3,-4.5,,,,,,,,,
PIT,22.36842105,27.84210526,,,,,,,,,
PNS,-2.333333333,1.333333333,,,,,,,,,
PSC,-5,16.5,,,,,,,,,
PSE,-4.333333333,-9.333333333,,,,,,,,,
PSG,90,87,,,,,,,,,
PSP,-0.9090909091,-5.454545455,,,,,,,,,
PUB,-15,-17,,,,,,,,,
PVD,7.285714286,11.28571429,,,,,,,,,
PWM,-7,-1,,,,,,,,,
RAP,-35,-9,,,,,,,,,
RDD,-19,-9,,,,,,,,,
RDM,-10,-12.5,,,,,,,,,
RDU,-5.966666667,-1.7,,,,,,,,,
RHI,29,18,,,,,,,,,
RIC,-3.882352941,3.117647059,,,,,,,,,
RNO,67.90909091,78.63636364,,,,,,,,,
ROA,-10,-2,,,,,,,,,
ROC,18.375,25.25,,,,,,,,,
RST,58,54,,,,,,,,,
RSW,-0.7272727273,3.363636364,,,,,,,,,
SAF,0,0,,,,,,,,,
SAN,0.8550724638,3.956521739,,,,,,,,,
SAT,0.8095238095,3.857142857,,,,,,,,,
SAV,1.285714286,-0.2857142857,,,,,,,,,
SBA,36.28571429,37.28571429,,,,,,,,,
SBN,60.5,32,,,,,,,,,
SBP,-5.5,-1,,,,,,,,,
SDF,6.272727273,13.63636364,,,,,,,,,
SEA,2.578313253,6.698795181,,,,,,,,,
SFO,16.82089552,18.51492537,,,,,,,,,
SGF,29,35.5,,,,,,,,,
SGU,-8,-1,,,,,,,,,
SHV,10,11.33333333,,,,,,,,,
SIT,-20,-12,,,,,,,,,
SJC,1.2,3.8,,,,,,,,,
SJU,-0.2916666667,3.875,,,,,,,,,
SLC,5.379310345,9.689655172,,,,,,,,,
SMF,-2.269230769,1.576923077,,,,,,,,,
SMX,4,-5,,,,,,,,,
SNA,6.653846154,12,,,,,,,,,
SPI,-5,-7,,,,,,,,,
SPS,14,-7,,,,,,,,,
SRQ,28.16666667,36,,,,,,,,,
STL,10.66666667,17.42857143,,,,,,,,,
STT,-12.4,-3.8,,,,,,,,,
STX,10.5,12.5,,,,,,,,,
SUN,27,29.33333333,,,,,,,,,
SYR,-13.83333333,-1,,,,,,,,,
TPA,4.982758621,6.603448276,,,,,,,,,
TTN,9,2,,,,,,,,,
TUL,-6.454545455,-3.545454545,,,,,,,,,
TUS,-11.27272727,-1.909090909,,,,,,,,,
TVC,44.5,43.5,,,,,,,,,
TWF,-8.5,-7.5,,,,,,,,,
TYR,-5,-5.5,,,,,,,,,
TYS,9.111111111,16,,,,,,,,,
VEL,-5,-6.5,,,,,,,,,
VLD,17.66666667,15.66666667,,,,,,,,,
VPS,-5,-3,,,,,,,,,
WRG,21.5,20.5,,,,,,,,,
XNA,16.14285714,7.428571429,,,,,,,,,
YAK,-28,-15,,,,,,,,,
Grand Total,5.82382237,9.769869267,,,,,,,,,
