DATE,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DAY,MONTH
02/03/2015,OO,5484,N946SW,BOI,SFO,4:20:00 AM,3:13:00 AM,-7,20,5:33:00 AM,115,113,88,522,12:01:00 PM,5,1:15:00 PM,12:06:00 PM,-9,Tuesday,Feb
02/06/2015,AA,1556,N3EEAA,MIA,PHL,2:42:00 AM,1:33:00 AM,-9,20,3:53:00 AM,161,184,160,1013,10:33:00 AM,4,10:23:00 AM,10:37:00 AM,14,Friday,Feb
01/10/2015,MQ,3439,N606MQ,DFW,TYS,1:30:00 AM,1:35:00 AM,5,12,2:47:00 AM,116,115,97,772,10:24:00 AM,6,10:26:00 AM,10:30:00 AM,4,Saturday,Jan
02/04/2015,B6,434,N804JB,SFO,BOS,8:00:00 AM,2:44:00 AM,-16,16,8:00:00 AM,329,320,296,2704,3:56:00 PM,8,4:29:00 PM,4:04:00 PM,-25,Wednesday,Feb
01/29/2015,UA,501,N472UA,ORD,OMA,5:15:00 PM,6:15:00 PM,60,23,6:38:00 PM,96,93,66,416,7:44:00 PM,4,6:51:00 PM,7:48:00 PM,57,Thursday,Jan
01/05/2015,EV,4415,N48901,IAH,SAV,10:44:00 AM,11:04:00 AM,20,9,11:13:00 AM,129,109,97,851,1:50:00 PM,3,1:53:00 PM,1:53:00 PM,0,Monday,Jan
01/13/2015,DL,1502,N917DL,TPA,CVG,1:00:00 PM,12:53:00 PM,-7,17,1:10:00 PM,128,125,102,773,2:52:00 PM,6,3:08:00 PM,2:58:00 PM,-10,Tuesday,Jan
01/07/2015,WN,4569,N734SA,LAS,OMA,6:00:00 PM,1:59:00 PM,-1,12,7:11:00 PM,155,158,143,1099,1:34:00 PM,3,1:35:00 PM,1:37:00 PM,2,Wednesday,Jan
01/13/2015,DL,2678,N989AT,LGA,BOS,12:00:00 PM,11:57:00 AM,-3,16,12:13:00 PM,76,58,32,184,12:45:00 PM,10,1:16:00 PM,12:55:00 PM,-21,Tuesday,Jan
01/04/2015,EV,4451,N16559,BHM,IAH,12:00:00 PM,10:09:00 PM,69,10,11:19:00 PM,119,117,97,562,1:56:00 PM,10,3:59:00 AM,6:06:00 PM,67,Sunday,Jan
01/19/2015,AA,1234,N3LRAA,LAS,ORD,3:32:00 PM,3:31:00 PM,-1,13,4:44:00 PM,208,197,177,1514,11:41:00 AM,7,12:00:00 PM,11:48:00 AM,-12,Monday,Jan
01/08/2015,EV,5240,N135EV,ATL,GSO,12:21:00 PM,12:16:00 PM,-5,15,12:31:00 PM,73,67,48,306,1:19:00 PM,4,1:34:00 PM,1:23:00 PM,-11,Thursday,Jan
01/05/2015,EV,5391,N614QX,MDW,DTW,6:35:00 PM,6:33:00 PM,-2,12,6:45:00 PM,69,61,40,228,8:25:00 PM,9,8:44:00 PM,8:34:00 PM,-10,Monday,Jan
01/06/2015,EV,2516,N830AS,DFW,CRP,12:35:00 PM,1:41:00 PM,66,11,1:52:00 PM,75,74,60,354,2:52:00 PM,3,1:50:00 PM,2:55:00 PM,65,Tuesday,Jan
01/12/2015,WN,600,N275WN,SLC,OAK,12:00:00 PM,12:00:00 PM,0,14,12:14:00 PM,115,104,84,588,12:38:00 PM,6,12:55:00 PM,12:44:00 PM,-11,Monday,Jan
02/11/2015,WN,102,N798SW,MCO,IND,7:00:00 PM,6:57:00 PM,-3,17,7:14:00 PM,150,142,119,829,9:13:00 PM,6,9:30:00 PM,9:19:00 PM,-11,Wednesday,Feb
01/11/2015,DL,1326,N930DL,OMA,ATL,10:00:00 PM,5:57:00 PM,-3,23,12:20:00 AM,145,139,107,821,10:07:00 AM,9,10:25:00 AM,10:16:00 AM,-9,Sunday,Jan
01/23/2015,OO,4591,N779CA,GRB,MSP,12:00:00 PM,4:53:00 PM,293,24,5:17:00 PM,68,73,43,252,6:00:00 PM,6,1:08:00 PM,6:06:00 PM,298,Friday,Jan
02/04/2015,OO,5196,N718SK,SFO,PDX,3:58:00 AM,3:52:00 AM,-6,28,10:20:00 AM,107,110,78,550,9:38:00 PM,4,10:45:00 PM,10:42:00 PM,-3,Wednesday,Feb
02/04/2015,B6,901,N903JB,JFK,FLL,12:22:00 AM,12:20:00 AM,-2,23,2:43:00 AM,193,194,167,1069,10:30:00 AM,4,10:35:00 AM,10:34:00 AM,-1,Wednesday,Feb
02/07/2015,WN,2403,N613SW,HOU,DAL,8:00:00 PM,7:57:00 PM,-3,6,8:03:00 PM,60,61,44,239,8:47:00 PM,11,9:00:00 PM,8:58:00 PM,-2,Saturday,Feb
01/20/2015,UA,323,N461UA,PHL,DEN,3:55:00 AM,2:49:00 AM,-6,16,8:05:00 AM,265,260,234,1558,11:59:00 PM,10,10:20:00 AM,10:09:00 AM,-11,Tuesday,Jan
02/03/2015,EV,4294,N16546,SDF,EWR,7:28:00 PM,8:41:00 PM,73,9,8:50:00 PM,122,107,86,642,10:16:00 PM,12,9:30:00 PM,10:28:00 PM,58,Tuesday,Feb
